,Compound_Name,assay_standard_value,assay_standard_units,assay_standard_type,assay_pchembl_value,target_organism,assay_chembl_id,InChIKey,Smiles,molecule_chembl_id,natural_product
0,,73100.0,nM,IC50,4.14,Plasmodium yoelii yoelii,CHEMBL764437,FSLPPDGVFQBPNL-WMWROPPHSA-N,COc1c(N2C[C@@H]3[C@@H](N)[C@@H]3C2)c(F)cc2c1N(C1CC1)CC(C(=O)O)C2=O,CHEMBL93307,0
1,TROVAFLOXACIN,74000.0,nM,IC50,4.13,Plasmodium yoelii yoelii,CHEMBL764437,WVPSKSLAZQPAKQ-CDMJZVDBSA-N,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,CHEMBL428,0
2,PRIMAQUINE,640.0,nM,IC50,6.19,Plasmodium yoelii yoelii,CHEMBL959760,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,1
3,,16100.0,nM,IC50,4.79,Plasmodium yoelii yoelii,CHEMBL959760,CQFMGBHPLGTYRE-ANUCULNSSA-N,COC1=C2[C@H]3NCC[C@]2(C[C@H](O)[C@@H]1O)c1c(ccc(OC)c1O)[C@@H]3O,CHEMBL522195,0
4,SINOCOCULINE,4500.0,nM,IC50,5.35,Plasmodium yoelii yoelii,CHEMBL959760,MFKPWBJXKCSPGK-KNORBDTNSA-N,COC1=C2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3)C[C@H](O)[C@@H]1O,CHEMBL524026,1
5,TAZOPSINE,3100.0,nM,IC50,5.51,Plasmodium yoelii yoelii,CHEMBL959760,CQFMGBHPLGTYRE-ZERSTCQWSA-N,COC1=C2[C@H]3NCC[C@]2(C[C@H](O)[C@@H]1O)c1c(ccc(OC)c1O)[C@H]3O,CHEMBL493786,0
6,PRIMAQUINE,75.7,nM,IC50,7.12,Plasmodium yoelii yoelii,CHEMBL1262114,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,1
7,ATOVAQUONE,57.0,nM,IC50,7.24,Plasmodium yoelii yoelii,CHEMBL1262114,KUCQYCKVKVOKAY-CTYIDZIISA-N,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,CHEMBL1450,1
8,THIOPHANATE,30000.0,nM,IC50,4.52,Plasmodium yoelii yoelii,CHEMBL1262114,YFNCATAIYKQPOO-UHFFFAOYSA-N,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,CHEMBL2103777,1
9,RIMANTADINE,35.6,nM,IC50,7.45,Plasmodium yoelii yoelii,CHEMBL1262114,UBCHPRBFMUDMNC-UHFFFAOYSA-N,CC(N)C12CC3CC(CC(C3)C1)C2,CHEMBL959,1
